"Name","Vorname","Gastinstitution","Disziplin","Titel Projekt","Jahr"
"Egli","Adrian","Universität Basel","Immunology, Immunopathology","Blockade of interferon-λ of signalling – a novel class of adjuvants to improve vaccine-induced antibody responses",2014
"Depeursinge","Adrien","EPF Lausanne","Information Sciences","Highly Adaptive Computational Models of Biomedical Tissue in Radiological Images: Digital Tissue Atlases and Correlation with Genomics (MAGE)",2014
"Paschoud","Adrien","Université de Lausanne","Romance languages and literature","Edition integrale des ecrits autobiographiques de Jean-Joseph Surin (1600-1665)",2010
"Demirors","Ahmet","ETH Zürich","Physical Chemistry","Bioinspired Composites by External Fields",2013
"Argyraki","Aikaterini","EPF Lausanne","Information Sciences","Internet Accountability",2008
"Ramadoss","Ajay","ETH Zürich","Mathematics","Topological quantum mechanics and index theorems.",2009
"Santamaria- Martínez","Albert","Université de Fribourg","Experimental Cancer Research","Cancer Stem Cells and metastasis: control of cell fate decisions through crosstalk with their lineage and the microenvironment",2014
"Comas-Vives","Aleix","ETH Zürich","Inorganic Chemistry","Support Effects in Catalysis: The Case of Dry Reforming",2013
"Barducci","Alessandro","EPF Lausanne","Physical Chemistry","Atomistic Basis for the Multiple Functions of the Hsp70 Chaperone Machinery",2011
"Sartori","Alessandro","Universität Zürich","Biochemistry","The role of CtIP phosphorylation in DNA double-strand break processing",2008
"Dimartino","Alessia","Université de Genève","Archaeology","Image and word: Visual communication and verbal portraiture in Ancient Greek funerary monuments",2014
"Eggel","Alexander","Universität Bern","Immunology, Immunopathology","Novel strategies to prevent allergic hypersensitivity reactions using disruptive IgE inhibitors",2013
"Hall","Alexander","ETH Zürich","Experimental Microbiology","Ecology of Antibiotic Resistance: Effect of Environment on Bacterial Adaptation to Antibiotics",2013
"Monin","Alexander","EPF Lausanne","Theoretical Physics","Spontaneous Conformal Symmetry Breaking and Hierarchy Problem",2013
"Kroll","Alexandra","EAWAG Dübendorf","Other Disciplines of Environmental Sciences","Fate and effects of engineered nanoparticles in stream periphyton",2012
"Fürstenberg","Alexandre","Université de Genève","Biophysics","Membrane dynamics and conformational diversity of G protein-coupled receptors",2010
"Fort","Alexandre Matthieu","Université de Genève","Genetics","Genomic regulation and function of nuclear non-coding RNAs transcribed from human enhancer regions",2014
"Ibanez Gabilondo","Alfredo","ETH Zürich","Cellular Biology, Cytology","Single-cell (S.cerevisiae) level examination of the telomere maintenance process",2012
"Martinez-Garcia","Alfredo","ETH Zürich","Geology","On the Role of the Southern Ocean in the regulation of atmospheric carbon dioxide concentrations",2012
"Deac","Alina","EPF Lausanne","Condensed Matter Physics","Spin-dependent transport and spin-transfer torques in specially designed superlattice nanostructures with tailored anisotropies",2010
"Vidotto","Aline","Université de Genève","Astronomy, Astrophysics and Spatial Sciences","Evolution of the stellar wind impact on extrasolar planets",2013
"Ribi Forclaz","Amalia","IHEID Genève","History in general","Peasants, Poverty and Politics. The Emergence of Global Labour Standards in Agriculture, 1930-1960",2011
"Aiyangar","Ameet","EMPA Dübendorf","Mechanical Engineering","Integrating Dynamic In Vivo Imaging And Computational Modelling: A New Paradigm To Study Lumbar Spine Biomechanics",2014
"Akrap","Ana","Université de Genève","Condensed Matter Physics","Charge dynamics in topological insulators",2013
"Necsulea","Anamaria","EPF Lausanne","Genetics","The roles of long non-coding RNAs in mammalian development and aging",2012
"Alimonti","Andrea","Università della Svizzera italiana","Experimental Cancer Research","Manipulation of senescence pathways for cancer therapy: from experimental models to clinic",2011
"Burri","Andrea","Universität Zürich","Psychology","Somatoform pain disorder: The role of interpersonal and epigenetic factors in the transition from acute to chronic pain disorder",2012
"Caviglia","Andrea","Université de Genève","Condensed Matter Physics","Light control of artificial quantum materials",2012
"Frick","Andrea","Universität Bern","Psychology","Development of Spatial Transformation Abilities",2010
"Parmigiani","Andrea","ETH Zürich","Geophysics","The fate of exsolved volatiles in shallow magma reservoirs: flow behavior and consequences on crystal mush reactivation and magma eruptability",2014
"Samson","Andrea","Université de Genève","Psychology","Emotion Dysregulation in Psychopathology: Pathway to an Innovative Neuroconnectivity-Informed Intervention",2014
"Scrima","Andrea","FMI Basel","Biochemistry","Molecular mechanism underlying Cockayne Syndrome",2010
"Surroca Ortiz","Andrea","Universität Basel","Mathematics","On some trascendental and diophantine problems",2008
"Crivellin","Andreas","PSI Villigen","Particle Physics","Flavour Physics beyond the Standard Model",2014
"Rüegg","Andreas","ETH Zürich","Theoretical Physics","Topological states in quantum condensed matter and advanced materials",2013
"Stauder","Andreas","Universität Basel","Ancient History and Classical Studies","The Old Egyptian Verb. Functions in Text",2012
"Gerber","Andri","ETH Zürich","Architecture and Social urban science","Städtebautheorie: Theorie einer ""interdisziplinären Disziplin""",2011
"Becue","Andy","Université de Lausanne","Chemical Engineering","Development of advanced fingermark detection techniques based on luminescent nanoparticles",2008
"Casini","Angela","EPF Lausanne","Inorganic Chemistry","Exploring the mechanisms of metal-based pharmacological agents via an integrated approach",2008
"Izzo","Anna","Université de Lausanne","Romance languages and literature","Il racconto di secondo grado nell'Orlando Furioso e nella tradizione cavalleresca",2009
"Plisecka","Anna","Universität Zürich","Legal Sciences","Normative Kommunikation in der mehrsprachigen Gesellschaft: Die Veröffentlichung von kaiserlichen Konstitutionen in den östlichen Provinzen des römischen Reiches",2012
