"","Name","Project","Score"
"3602","project-33875","BM1402",0.947006431170632
"3683","project-34133","IS1207",0.682823203955144
"3708","project-34219","IC1402",0.630784663783321
"2947","project-31403","TD1107",0.575943086295703
"2542","project-29823","FP1006",0.571499932871941
"3002","project-31558","CM1302",0.566068998873407
"3012","project-31614","ES1102",0.561217295931572
"1596","project-24524","CM1307",0.559427282115919
"2957","project-31425","TU1102",0.558713582875878
"3738","project-34303","FA1307",0.549213396759206
"392","project-13598","TU1204",0.527682152913599
"2888","project-31222","BM1206",0.527113364048825
"1975","project-27045","MP1201",0.510027879213036
"3444","project-33252","ES1404",0.509712074827024
"1879","project-26565","CM1002",0.504546801123369
"867","project-19046","FP1004",0.500132668067837
"4605","project-7061","TU1203",0.4922734950893
"2821","project-30942","TU1102",0.485503268988338
"629","project-16534","IS1203",0.483803561776117
"4204","project-6138","ES1404",0.474245117095383
"3744","project-34319","TD1107",0.471375000605078
"1441","project-23383","TU1201",0.47135514827632
"3750","project-34336","FP1006",0.465158004031465
"2232","project-28346","IS1203",0.454705157475534
"5058","project-9124","MP1209",0.4522411514358
"1931","project-26864","TU1105",0.45165651724862
"2490","project-29528","TU1206",0.446104454267406
"814","project-18630","IS1203",0.445199690342554
"4064","project-5811","FA1001",0.444451525613472
"4869","project-7840","CM1402",0.4444124654259
"1679","project-25082","TD1005",0.442946309154646
"2915","project-31318","TU1204",0.438501282039448
"3752","project-34338","FP1006",0.438338937725035
"2160","project-28068","IC1104",0.438085368565118
"3583","project-33826","IS1203",0.429890817938307
"2998","project-31538","ES1406",0.429797845946527
"1537","project-23906","TD1006",0.428245173189356
"2424","project-29257","MP1006",0.418188381685553
"513","project-15113","MP1401",0.415441512884248
"3581","project-33808","FA1308",0.414002506439549
"4827","project-7790","CM1402",0.41307603786448
"1842","project-26312","ES1402",0.409527590671258
"3727","project-34270","MP1105",0.405195900437246
"3279","project-32679","IS1107",0.404567688574899
"1918","project-26811","FA1302",0.403793220260541
"2038","project-27249","FA1302",0.403485438937909
"2251","project-28472","FP1302",0.397727721492052
"1507","project-23765","TD1005",0.395254116877352
"1625","project-24685","TU1105",0.394866299297214
"1920","project-26817","TD1001",0.3944436917102
"123","project-10988","MP1201",0.392437409869392
"1424","project-23297","IC1301",0.390512940091756
"696","project-17415","FP1004",0.386914809000032
"3406","project-33089","CM1004",0.38551687016761
"3808","project-34490","MP1006",0.383134260041916
"3600","project-33867","CM1104",0.382956295167926
"4414","project-6599","IC1002",0.381900592684802
"4531","project-6801","MP1305",0.381726239965735
"1903","project-26755","FP1004",0.381141280805908
"4826","project-7789","CM1402",0.381062753381303
"1984","project-27082","FP1004",0.379698106660024
"3549","project-33700","ES1402",0.375932445606516
"4398","project-6556","FP1301",0.374110748279597
"1068","project-21129","IS1406",0.373999639426846
"3031","project-31694","CM1005",0.372604460494473
"223","project-11682","FA1208",0.371477085639765
"1902","project-26754","FP1004",0.371035003022275
"1929","project-26853","FA1106",0.36981581317319
"4526","project-6796","CM1302",0.368978603702407
"3185","project-32389","CM1207",0.368789340383457
"2452","project-29362","FP1004",0.368622807928861
"1982","project-27078","FP1004",0.368622807928861
"3526","project-33596","TU1201",0.366853774826815
"2789","project-30844","TU1201",0.365719381416377
"451","project-14092","ES1301",0.365120939084853
"2697","project-30463","CM1302",0.36488247298676
"4086","project-5833","MP1305",0.363981510595064
"2899","project-31248","CM1101",0.363673984446686
"2553","project-29874","IS1006",0.363565388091846
"3640","project-33982","FA1001",0.362983626968691
"4267","project-6262","FP1006",0.362328596846744
"2515","project-29632","FA1001",0.36216943093395
"210","project-11627","CM1402",0.361937135803371
"3679","project-34123","MP1105",0.361594148531949
"1256","project-22343","ES1203",0.36106736091885
"4225","project-6197","ES1404",0.360596288625647
"4309","project-6348","ES1204",0.359764880023549
"3886","project-34872","CM1003",0.359398889895543
"3221","project-32489","IS1406",0.359330352065989
"3013","project-31615","ES1406",0.358408663973893
"4075","project-5822","CM1402",0.358057926219936
"2623","project-30227","ES1402",0.35783694790927
"2711","project-30526","IS1203",0.357198821137026
"114","project-10942","CM1402",0.356684346367576
"1682","project-25115","TD1103",0.356556337727166
"3766","project-34379","FA1203",0.354990271189512
"5051","project-9029","MP1201",0.35470526136387
"3324","project-32819","TD1005",0.354547863148569
"2413","project-29205","TU1204",0.35445573843131
"84","project-10765","CM1402",0.354075078658245
"4171","project-6016","CM1104",0.352037785475977
"2018","project-27195","MP1002",0.352015407534903
"4870","project-7841","CM1402",0.351012019235753
"4924","project-7895","MP1006",0.349184512307729
"4006","project-35255","IS1203",0.348290470019485
"2374","project-29028","CM1106",0.348049210231648
"4967","project-8010","TU1201",0.3475990284861
"367","project-13279","TU1206",0.346726857070085
"149","project-11118","IS1203",0.345935262823662
"977","project-20269","MP1305",0.343471574440501
"1321","project-22749","CM1104",0.343128373590474
"3938","project-34997","CM1206",0.343040998165821
"160","project-11217","IC1002",0.342637220229034
"4384","project-6502","FP1004",0.342415967567109
"1561","project-24160","ES1406",0.34219000385497
"4311","project-6350","MP1106",0.341805240275412
"1297","project-22599","ES1406",0.340699538733497
"4381","project-6499","FP1305",0.340488030502102
"1192","project-21930","BM1104",0.340373735786847
"2921","project-31339","FA1307",0.340259207586489
"720","project-17696","TD1006",0.339792252794944
"3214","project-32482","TU1405",0.339268372019894
"1095","project-21260","MP1002",0.339043115352564
"4446","project-6645","MP1305",0.338753481534577
"37","project-10274","MP1209",0.337571602084092
"3780","project-34404","MP1305",0.336316210449789
"4647","project-7183","TU1401",0.334827990445669
"148","project-11117","IS1203",0.334434723182446
"3596","project-33861","FA1308",0.334193733837925
"1026","project-20726","IC1102",0.333922215103604
"2949","project-31405","ES1406",0.333855299961177
"2463","project-29427","IS1406",0.333067965267712
"1374","project-23005","ES1402",0.333045770066481
"3272","project-32669","IC1104",0.332084306309621
"2199","project-28216","TD1001",0.331258121710609
"3543","project-33685","FP1206",0.33122140399799
"3857","project-34710","TU1204",0.330918778648356
"726","project-17760","CM1005",0.330511392799097
"1209","project-22100","IS1204",0.330454448710542
"982","project-20310","IC1002",0.330307851008138
"2248","project-28435","ES1402",0.328079285271896
"4321","project-6360","TD1201",0.327687409232618
"220","project-11641","MP1305",0.327337300886999
"2388","project-29071","FA1208",0.327275363359621
"3871","project-34787","ES1301",0.326939153187811
"523","project-15292","IS1203",0.3265209736875
"1983","project-27081","FP1004",0.32641093169185
"3338","project-32878","ES1402",0.326130790053721
"1927","project-26850","FA1306",0.326078246076246
"2079","project-27490","FP1006",0.325778687024626
"3043","project-31767","ES1203",0.325510008801008
"628","project-16532","IS1203",0.325141175935172
"82","project-10749","CM1003",0.324503576238258
"2429","project-29270","FA1208",0.324307091175128
"125","project-10997","TD1001",0.324303609596489
"954","project-20109","IS1405",0.323877481313779
"751","project-18076","ES1402",0.32314186905001
"1460","project-23439","FP1404",0.323108482109277
"2805","project-30894","ES1301",0.321967798090832
"2875","project-31203","FP1004",0.321802317195617
"3653","project-34016","ES1002",0.321733200681583
"2574","project-29974","CM1302",0.321600391471754
"245","project-11929","CM1104",0.321047551852742
"3875","project-34816","FP1006",0.320771747033376
"3982","project-35157","FA1308",0.320316178594256
"1079","project-21189","ES1206",0.319460367161773
"1723","project-25479","FA1006",0.318978603192791
"3308","project-32782","TU1202",0.31896102131055
"4867","project-7838","CM1402",0.318686769781452
"873","project-19122","FP1404",0.318550903314351
"2736","project-30609","ES1404",0.318272115923966
"4416","project-6601","IC1002",0.318231586342725
"166","project-11234","FA1106",0.318231507336199
"3983","project-35159","MP1305",0.318132217945562
"2100","project-27583","FP1105",0.317866513733147
"455","project-14147","CM1305",0.317719275947215
"2250","project-28447","CM1104",0.3175633804816
"3140","project-32221","TU1202",0.317350870980285
"2871","project-31193","TU1201",0.317195200703669
"2814","project-30918","TU1304",0.317079065365283
"4390","project-6513","FP1006",0.316919034943186
"1415","project-23224","FA1001",0.31681009904436
"521","project-15262","IS1204",0.316809510781281
"3122","project-32137","FA1208",0.316649565849717
"413","project-13794","FA1401",0.316586332923416
"589","project-15991","IS1002",0.316340890554839
"3820","project-34538","MP1405",0.316026562027324
"670","project-16890","CM1402",0.315350273299434
"3887","project-34873","CM1003",0.315037522044546
"2506","project-29610","ES1203",0.31431946110746
"3109","project-32042","ES1406",0.313130877447072
"1418","project-23240","CM1305",0.312791691425277
"4078","project-5825","CM1402",0.312629595312796
"2059","project-27378","BM1104",0.312131310709128
"3868","project-34783","TU1401",0.312123329880416
"1300","project-22648","IS1107",0.311951914500085
"3315","project-32803","TD1006",0.311562154096093
"2220","project-28292","ES1203",0.310921402651649
"4921","project-7892","MP1405",0.310882876632504
"2722","project-30569","CM1106",0.310852289740501
"4527","project-6797","CM1302",0.310836515709422
"4406","project-6573","ES1203",0.31079066792657
"2043","project-27278","IC1404",0.3106836688075
"2384","project-29053","MP1205",0.310058386396291
"1403","project-23152","FP1006",0.309897531850839
"22","project-10189","CM1402",0.309814188903749
