PI,Start Date, Title, Path
Michael Döring,01.03.2015,Hydroecology and Floodplain Sustainability in Application - HyApp,Corpora/zhaw/projekt-detail_000.txt
Heidrun  Becker,01.03.2015,iCareCOOPs,Corpora/zhaw/projekt-detail_001.txt
Jörg Keller ,01.02.2015,"Gemeinsamer Europischer Referenzrahmen fr Gebrdensprachen: Empirie-basierte Grundlagen fr grammatische, pragmatische und soziolinguistische Deskriptoren in Deutschschweizer Gebrdensprache (2014)",Corpora/zhaw/projekt-detail_002.txt
Julia Angstl,01.01.2015,05-NAP-S28 Einfhrungs- und Duplikatsammlung,Corpora/zhaw/projekt-detail_003.txt
Jörg Keller,01.01.2015,"Aussprachetraining Deutsch mit adaptiver mobiler App: multimediales, kursunabhngiges Lernen und Blended Learning (2015)",Corpora/zhaw/projekt-detail_004.txt
Céline Mülethaler,01.01.2015,Auswirkung von Zwangshaltungen und Muskelermdung auf die kognitive Leistungsfhigkeit von Helikopterpiloten,Corpora/zhaw/projekt-detail_005.txt
Jörg Keller,01.01.2015,DACHL-Landeskunde-Seminar 2015,Corpora/zhaw/projekt-detail_006.txt
Brion Duffy,01.01.2015,DeepCherry: Deep transcriptome sequencing to uncover bacterial disease resistance in cherry,Corpora/zhaw/projekt-detail_007.txt
Hansjürg Gredig,01.01.2015,Dialog Kultur 2015,Corpora/zhaw/projekt-detail_008.txt
Nicole Gerber,01.01.2015,Entwicklung eines IT-gesttzten Assessmenttools und eines entsprechenden Einfhrungshandbuches fr relevante Facility Management-Prozess-Applikationen im Spital auf Basis eines adaptiven Referenzmodells,Corpora/zhaw/projekt-detail_009.txt
: ,of project,Gesundheitsfrderliche Brorume,Corpora/zhaw/projekt-detail_010.txt
Constanze Pietsch,01.01.2015,Kick-Starting Projects African Countries,Corpora/zhaw/projekt-detail_011.txt
Johannes Fahrentrapp,01.01.2015,Systemic disease response of Solanum lycopersicon,Corpora/zhaw/projekt-detail_012.txt
Sergio Petrozzi,01.01.2015,Verbessertes und  nachhaltigeres Praktikum in Instrumentelle Analytische Chemie ICBC- Einfhrung eines Nachhaltigkeitsindex fr die semiquantitative Gewichtung von Analytischen Methoden-,Corpora/zhaw/projekt-detail_013.txt
Ursula Meidert,15.12.2014,Beratung zur Bettenversorgung bei Personen mit rheumatischen Erkrankungen,Corpora/zhaw/projekt-detail_014.txt
Petra Hagen Hodgson,15.12.2014,Grnrume fr die zweite Lebenshlfte,Corpora/zhaw/projekt-detail_015.txt
Patrick Krauskopf,15.12.2014,Wettbewerbssituation im Schweizer Automobilgewerbe,Corpora/zhaw/projekt-detail_016.txt
Andreas Fürholz,04.12.2014,Umweltauswirkungen einer Vertikalachsenturbine,Corpora/zhaw/projekt-detail_017.txt
Julien Rey,01.12.2014,Mid-infrared liquid sensing,Corpora/zhaw/projekt-detail_018.txt
Angela Zeier,01.12.2014,Operationeller Risikokompass fuer Vorsorgeeinrichtungen,Corpora/zhaw/projekt-detail_019.txt
Angela Zeier,01.12.2014,Patienten in der Health-Value-Chain - Studie zu gemeinsamen Zielen im Gesundheits- und Krankenversicherungsmarkt Schweiz,Corpora/zhaw/projekt-detail_020.txt
Claudia Pedron,01.11.2014,Aufbau einer serviceorientierten Architektur bei  armasuisse Immobilien,Corpora/zhaw/projekt-detail_021.txt
Urs Baier,01.11.2014,Beurteilung von BAW zur Vergrung,Corpora/zhaw/projekt-detail_022.txt
Daniel Greber,01.11.2014,Entscheidungsverhalten in der privaten Vorsorge,Corpora/zhaw/projekt-detail_023.txt
Wilfried Elspass,01.11.2014,Entwicklung einer modularen Kinderhandprothese,Corpora/zhaw/projekt-detail_024.txt
Wilfried Elspass,01.11.2014,Entwicklung eines neuartigen Inspektionsroboters,Corpora/zhaw/projekt-detail_025.txt
Heidi Petry,01.11.2014,Erfahrungen von alten Menschen und deren Familien im Kontext eines Betreuungsarrangements mit Care Migrantinnen,Corpora/zhaw/projekt-detail_026.txt
Roland Graf,01.11.2014,Jagdrevierbewertung des Kantons St. Gallen,Corpora/zhaw/projekt-detail_027.txt
Erich Stutz,01.11.2014,Markteinfhrung pendularis,Corpora/zhaw/projekt-detail_028.txt
Lars Fieseler,01.11.2014,Mechanisms of phage resistance in Erwinia amylovora,Corpora/zhaw/projekt-detail_029.txt
: ,of project,"kobilanz von Torf, Alternativsubstraten und Substratmischungen",Corpora/zhaw/projekt-detail_030.txt
Brion Duffy,01.11.2014,PearL: Diversity and host range of Pseudomonas syringae in fruit tree species in Latvia,Corpora/zhaw/projekt-detail_031.txt
Nicole Rosenberger,01.11.2014,Positionierungs- und Kommunikationskonzept fr das Institut fr Facility Management der ZHAW,Corpora/zhaw/projekt-detail_032.txt
Alberto Colotti,01.11.2014,SIgrid,Corpora/zhaw/projekt-detail_033.txt
Andreas Bergmann,01.11.2014,Studie Systemwechsel Verrechnungssteuer Kanton Zrich,Corpora/zhaw/projekt-detail_034.txt
Schmidhauser Beda,29.10.2014,Innovationswettbewerb Excellence publique 2015,Corpora/zhaw/projekt-detail_035.txt
Daniela Händler-Schuster,01.10.2014,Audiovisuelle Beeintrchtigungen im Alter,Corpora/zhaw/projekt-detail_036.txt
Elke Brucker-Kley,01.10.2014,BPM-Studie 2015 - &quot;Prozessintelligenz&quot;,Corpora/zhaw/projekt-detail_037.txt
Carmen Koch,01.10.2014,Evaluation des Schulblatts des Kanton Zrichs,Corpora/zhaw/projekt-detail_038.txt
Esther Fischer,01.10.2014,Gefhrdung von Arbeitenden durch Kontakt mit Pflanzenschutz-mitteln whrend Nachfolgearbeiten in der Landwirtschaft,Corpora/zhaw/projekt-detail_039.txt
Valerie Fleming,01.10.2014,Giving birth,Corpora/zhaw/projekt-detail_040.txt
Karin Niedermann,01.10.2014,Implementierung und Evaluation von peer-gesttzter Bewegungsfrderung in Stadt Zrcher Altersheimen,Corpora/zhaw/projekt-detail_041.txt
Simon Wieser,01.10.2014,Kosten von Diabetes in der Schweiz,Corpora/zhaw/projekt-detail_042.txt
Corinne Moser,01.10.2014,NFP71: Using formal social groups to promote energy-sufficient behaviour in cities,Corpora/zhaw/projekt-detail_043.txt
Projektteam: ,01.10.2014,Objektive Kriterien fr die individuelle Auswahl einer physiologisch gnstigen Violinposition,Corpora/zhaw/projekt-detail_044.txt
Matthias Stucki,01.10.2014,ProPAT,Corpora/zhaw/projekt-detail_045.txt
Vicente Carabias-Hütter ,01.10.2014,"PV2050: Sustainability, market deployment and interaction to the grid  the impacts of advanced photovoltaic solution",Corpora/zhaw/projekt-detail_046.txt
Urs Baier,01.10.2014,Renewable Methane Transport + Mobility,Corpora/zhaw/projekt-detail_047.txt
Karin Kovar,01.10.2014,Sciex 14.176 PEGAS,Corpora/zhaw/projekt-detail_048.txt
Flurina Meier,01.10.2014,Spital Limmattal: Koordination der Altersversorgung im Zweckverband des Spitals Limmattal,Corpora/zhaw/projekt-detail_049.txt
Petra Bättig-Frey,01.10.2014,Wirkungsevaluation &quot;Zuerich isst&quot;,Corpora/zhaw/projekt-detail_050.txt
Alfred Angerer,25.09.2014,FMH Praxiskostenbarometer,Corpora/zhaw/projekt-detail_051.txt
Thomas  Gabriel,15.09.2014,Unerwartete Abbrche von Pflegeverhltnissen im Kinder- und Jugendalter,Corpora/zhaw/projekt-detail_052.txt
Kurt Pärli,01.09.2014,Auswirkungen des EU-Arbeitsrechts auf das schweizerische Arbeitsrecht,Corpora/zhaw/projekt-detail_053.txt
Fatih Uzdilli,01.09.2014,Beekeeper,Corpora/zhaw/projekt-detail_054.txt
Peter Stücheli-Herlach,01.09.2014,Diskursanalyse zu den Sozialversicherungen,Corpora/zhaw/projekt-detail_055.txt
Liana Konstantinidou,01.09.2014,ecomundo,Corpora/zhaw/projekt-detail_056.txt
Elena Wilhelm,01.09.2014,Entwicklung zweiter Schwerpunkt ZHAW,Corpora/zhaw/projekt-detail_057.txt
Andri Färber,01.09.2014,ExpAct - Experiences keep people Active,Corpora/zhaw/projekt-detail_058.txt
Thomas Gabriel,01.09.2014,Heimalltag im Spiegel von Erlebnisberichten,Corpora/zhaw/projekt-detail_059.txt
Susanne Hofer,01.09.2014,KTI Projekt: Hospital Planning - Revisited and Reloaded (V2),Corpora/zhaw/projekt-detail_060.txt
Kurt Stockinger,01.09.2014,Market Monitoring,Corpora/zhaw/projekt-detail_061.txt
Michael Döring,01.09.2014,Monitoring Simme und Kander,Corpora/zhaw/projekt-detail_062.txt
Jürg Rohrer,01.09.2014,PVT-Solarkraftwerk linth-arena sgu,Corpora/zhaw/projekt-detail_063.txt
Urs Baier,01.09.2014,Schwermetalle in Schweizer Grngut,Corpora/zhaw/projekt-detail_064.txt
Urs Baier,01.09.2014,Schwermetalle in Schweizer Grngut,Corpora/zhaw/projekt-detail_065.txt
Gwendolin Bitter,18.08.2014,Vermittlung Tourismus- und Landschaftsqualitt - Methode und Produktentwicklung,Corpora/zhaw/projekt-detail_066.txt
Andreas Bergmann,01.08.2014,Accounting for inter-governmental organizations,Corpora/zhaw/projekt-detail_067.txt
Mark Cieliebak,01.08.2014,Automatische Generierung von Regressionstests,Corpora/zhaw/projekt-detail_068.txt
Urs Baier,01.08.2014,Biol. Hydrolyse von organischen Abfllen,Corpora/zhaw/projekt-detail_069.txt
: ,of project,Electronic Crew Flight Pad,Corpora/zhaw/projekt-detail_070.txt
Urs Baier,01.08.2014,Emissionspotential Grgut flssig,Corpora/zhaw/projekt-detail_071.txt
