"","Name","Project","Score"
"102","Florence Oloff","BM0601",0
"131","James Storey","IC1408",0.00868595675225436
"41","Bettina Schaefli","IC1201",0.00975532361953136
"268","Sylvian Fachard","MP0601",0.0101523974170783
"10","Alexandre Fort","TU0802",0.0105164876604405
"40","Bertrand Forclaz","IC1205",0.0112979672139224
"96","Eric Schmidlin","FA1202",0.0123975514424599
"66","Claire Rambeau","IS1405",0.0126934504611061
"9","Alexander Monin","IC1004",0.0137515376420663
"31","Anna Izzo","IS0902",0.0139047928891425
"262","Stefan Tilg","IC1103",0.015249579355376
"90","Elisa Andretta","MP0601",0.015552248621784
"91","Elisa Brilli","TU0603",0.016009759091686
"14","Aline Vidotto","TD1208",0.0161510106569122
"257","Simon Nigg","ES1105",0.017378553785261
"69","Cristiano Castelletti","IS1007",0.0179754005937795
"248","Sandrine Zufferey","IC1004",0.0181899563050172
"241","Romain Felli","IS1309",0.0184612227271574
"47","Carlo Roggia","IC1004",0.0188961933033295
"198","Natalie Banerji","CM1002",0.0192713011169224
"255","Silvia Stringhini","IS1102",0.019452408419679
"123","Hugo Mercier","IC1004",0.0199714434863743
"42","Bigna Lenggenhager","IC1103",0.0200212415083334
"36","Bechara Saab","IS1302",0.0209605101545546
"228","Philippe Mermod","MP1210",0.0210419074255562
"244","Ruud Van Heeswijk","TD0901",0.0212342242722807
"169","Lucas Montero de Espinosa","TU0802",0.0212975698517245
"2","Adrien Paschoud","IC1004",0.0216525087839506
"239","Roland Zech","IC1103",0.0216721260845852
"140","Jean-David Gerber","TU1306",0.0217042480668096
"146","João das Neves Duarte","IC0902",0.0217720180210019
"67","Claudio Zamagni","CM1405",0.0222429574864308
"267","Sylvain Dubey","BM1102",0.0233894854432291
"288","Vincent Lam","CM0804",0.0242770086329762
"135","Jana Pachlopnik Schmid","IC1103",0.0244365550962842
"266","Swann Pichon","IS0906",0.0245339228273199
"256","Silvio Ionta","FP1401",0.0248345678036724
"152","Judith Domínguez Borràs","IC1004",0.0251907548990376
"154","Julian Fink","TU1301",0.0264209961870154
"166","Laurenz Meier","BM1209",0.0273434568106747
"230","Pierre Valla","ES0907",0.027674921583675
"89","Edmondo Benetti","CM1001",0.0278252667611703
"226","Philipp Felsch","IC1103",0.028035611192745
"197","Muriel Pic","IC1004",0.0280982447220078
"284","Valéry Berlincourt","IC1004",0.0283512832759146
"178","Marion Tegethoff","IC1103",0.0293071589467531
"59","Christoph Berger","IC1103",0.0296938305260438
"8","Alexander Eggel","FA1402",0.0303553715939606
"38","Ben Spycher","IC1103",0.0304104276706638
"16","Ameet Aiyangar","IC1103",0.0304882546523147
"1","Adrian Egli","IC1103",0.0309803101991309
"26","Andreas Rüegg","CM1104",0.031383627906507
"176","Maria Caiata Zufferey","BM0703",0.0316924607722039
"189","Michael Jucker","IC1103",0.0318190486879396
"141","Jean-Nicolas Longchamp","TD1002",0.0324645446649276
"205","Nils Arrigo","FA1005",0.0327575838066499
"276","Tilmann Altwicker","IC1103",0.0331402879680928
"293","Yolanda Schärli","IC1103",0.0335148652614839
"119","Gunther Martin","IC1103",0.0337176671919895
"62","Christoph Grüter","IC1103",0.0341985158115622
"168","Luc van Dongen","IC1004",0.0342149926811093
"17","Ana Akrap","FP1006",0.0345496637186022
"63","Christoph Karlo","IC1103",0.0353458982722491
"35","Antoinina Bevan Zlatar","IC1103",0.0356267559572562
"148","Joëlle Vuille","TU1203",0.0357225941624033
"160","Kerry Woods","IC1103",0.0359335056959845
"11","Alexandre Fürstenberg","CM1207",0.0363432231743122
"225","Philipp Engel","IC1103",0.0364152558746647
"272","Thomas Berger","IC1103",0.036507532652998
"196","Mira Katan","ES1307",0.0373563800117828
"221","Peter-Paul Bänziger","IC1103",0.0375108854036175
"104","Franca Contratto","IC1103",0.0386499074369646
"291","Yannis Burnier","TD1208",0.0397816264346556
"191","Michael Koss","MP0905",0.0399605017716202
"99","Eveline Geiser","IC1103",0.0404102160592638
"246","Samuel Wüst","IC1103",0.040959164643401
"251","Saskia Walentowitz","IC1301",0.0410290021298435
"54","Christian Grams","IC1103",0.0411571294426203
"192","Michael Studer","FP0902",0.0413608778498082
"111","Georg Modestin","IC1103",0.0417022662906551
"247","Sandra Schwab","TD1007",0.0417640963390519
"127","Ivan Foletti","IC1004",0.0421504644907159
"64","Christophe Galland","IC1208",0.0422241417481684
"49","Caspar Battegay","IC1103",0.0424152552178492
"265","Susanne Skora","IC1103",0.0433685483656219
"28","Andri Gerber","IC1103",0.0435406849668152
"3","Ahmet Demirors","IC1103",0.0441254333884168
"33","Anna Plisecka","IC1103",0.0441493261800975
"92","Elodie Briefer","IS0602",0.0448703196548154
"193","Michal Juricek","IC1103",0.0454570183449659
"155","Julie Stauder-Porchet","IC0904",0.0456029671936574
"232","Rachel Mader","IC1103",0.0463389561389811
"282","Valentina Ponzetto","IC1004",0.0463648700436853
"56","Christian Schöb","IC1103",0.0463865783649209
"199","Nathalie Giger","IC1103",0.0464250142121938
"263","Stéphanie Dagron","IC1103",0.0468329587050829
"143","Jean-Philippe Brantut","MP1001",0.0474834933300323
"116","Giuseppe Sforazzini","ES1005",0.0475724058793054
"93","Emiliana Fabbri","BM1007",0.0475811447552263
"50","Caspar Hirschi","IC1103",0.0476893161915827
"45","Björn Burmann","IC1103",0.0485710580356829
"58","Christine Weder","IC1103",0.0488561520092865
"279","Tomoko Ariga","IC1103",0.0497828959524579
"21","Andrea Caviglia","CM1106",0.0514493384519438
"118","Gundela Bobeth","IC1103",0.0517805620030356
"80","Daniele Roppolo","CM1001",0.0523547141319442
"5","Aleix Comas-Vives","IC1103",0.0528586358051301
"207","Nina Ullrich","IC1103",0.0529456197833072
"269","Tamar Lewinsky","IC1103",0.0535018843882261
"177","Mario Noti","IC1103",0.0537561411969713
"218","Patricia Purtschert","IC1103",0.0543408661525319
"81","Dario Cazzoli","IC1103",0.0574202693577312
"87","Dominique Glauser","BM1408",0.0579687174276698
"271","Tatjana Aue","TU1303",0.0586299370179544
"249","Santiago Fernandez Gonzalez","TD1303",0.0605732495229588
"187","Max Lieberman","IS1005",0.0624244436897719
"182","Martin Walter","BM1209",0.0627334467359234
"211","Oliver Hahn","CM1401",0.063705591193799
"234","Reto Schuepbach","CM1207",0.065137122308915
"159","Kelly Tan","BM0803",0.0689328450177705
"286","Veronica Savu","MP1402",0.0702824716899629
"75","Daniel Staub","BM1205",0.0703724557635643
"283","Valerio Simoni","IS1204",0.0744852030276817
"27","Andreas Stauder","IS1006",0.0756190032232828
"214","Oscar Vadas","CM1207",0.0761657669704176
"194","Michelle Bucher-Karlsson","TU0901",0.0803257552271232
"120","Henning Jessen","ES1402",0.0815918662285687
"34","Anna Spycher","BM0802",0.0838660704984155
"25","Andrea Surroca Ortiz","IC1104",0.0876364375350123
"223","Petra Schmid","IS1301",0.0880145763622052
"202","Nicolas Silvestrini","IC0902",0.0888453814644378
"126","Ioana Latu","IS0901",0.0903249858133722
"114","Gilles Wandeler","FA1407",0.0903687326610381
"13","Alina Deac","CM1305",0.0924886401922565
"129","Jaiyul Yoo","MP1210",0.0927097388280278
"88","Edith Joseph","TD0902",0.0933747321488205
"240","Rolf Kümmerli","BM1102",0.0980881548452575
"287","Veronika Job Sutnar","TU1203",0.0987967445205713
"83","Delphine Faivre-Carron","IS1407",0.0988478760298943
"4","Ajay Ramadoss","MP1006",0.0989686320223797
"20","Andrea Burri","TD1005",0.0994568507350893
"174","Marco Nievergelt","IS1404",0.101244866773692
"258","Simona Spinelli","BM0606",0.102569830460438
"236","Ritwick Sawarkar","BM0901",0.102691874351813
"86","Dominik Schöbi","IS1405",0.102859322825143
"142","Jean-Pascal Pfister","IC1401",0.10449130216174
"183","Martine Maan","ES1302",0.105161656225633
"95","Enrique Lara","BM1102",0.106364357141899
"23","Andrea Samson","IC0601",0.107666156925255
"217","Paolo Crivelli","MP1001",0.108823479697017
"238","Roger Kouyos","BM0906",0.109816433723519
"161","Kirsten Taylor","BM0604",0.110450773412641
"115","Gisela Michel","MP1101",0.112183571801012
"44","Birgit Kleim","TD1106",0.112404345505781
"61","Christoph Flückiger","TD1006",0.112910361576967
"6","Alessandro Barducci","TU0903",0.116457836785022
"121","Henrik Braband","CM0702",0.117549383000936
"24","Andrea Scrima","CM1001",0.118786981161648
"171","Maciej Kurant","FP0901",0.123364821578381
"113","Gilles Gasser","CM1105",0.124115569284616
"184","Matthias Berking","BM1101",0.124392675291422
"185","Matthias Meier","BM1101",0.124392675291422
"213","Olivier Reubi","ES0804",0.126195561578259
"278","Tobias Kaufmann","ES1405",0.126730604221226
"72","Daniel Alessi","IS1408",0.128186643825263
"110","Geoffrey Ruiz","FA1003",0.129554636254238
"139","Jean-Daniel Champagnac","ES1306",0.131344593578761
"134","Jan Klohs","MP1207",0.133925226217285
"164","Laszlo Kocsis","TU1104",0.134474741352182
"229","Pierre-Emmanuel Courty","FA0701",0.135181739358939
"52","Christian Appenzeller- Herzog","FA0605",0.136868571848449
"39","Bernd Schimanski","CM1406",0.137594717953767
"32","Anna Malaspinas","TD0801",0.137830825025692
"57","Christine Bichsel","IS1102",0.138493058593144
"125","Inés Wilhartitz","TU1206",0.138705417865356
"254","Séverine Vuilleumier","BM0803",0.138960621362719
"60","Christoph Dahl","BM1001",0.139193054147339
"259","Simone Astori","IS1203",0.142319588798523
"82","David Margolis","IC1401",0.144810016799349
"231","Pilar Junier","FA1202",0.145116748894204
"190","Michael König","MP0801",0.145283622981285
"29","Andy Becue","IC1106",0.145610074451122
"137","Jason Mercer","TD1303",0.146540949646374
"203","Nicolle Kränkel","BM1007",0.146608228823101
"222","Péter Szövényi","BM1102",0.147429690514637
"132","Jan Cvengros","CM0905",0.150103286930469
"253","Sergio Rasmann","FA1405",0.151690934903745
"124","Ilja Voets","CM1402",0.15234584039288
"78","Daniele Baglioni","IS1407",0.15300506969837
"128","Jacek Krol","TD0905",0.155113443612325
"173","Marcel Hollenstein","MP0802",0.157577637430688
"165","Laura Ciobanu Radomirovic","CM1201",0.158488021060032
"158","Kaori Minehira Castelli","BM0602",0.159218452659176
