"","Name","Project","Score"
"202","Nicolas Silvestrini","TD1005",0.589191740046438
"281","Ulrike Rimmele","IS1203",0.550213537826638
"204","Nikolaos Thomos","IC1104",0.514425399744207
"201","Nicolas Rothen","IS1203",0.445109567669787
"104","Franca Contratto","IS0602",0.441765050224878
"268","Sylvian Fachard","IS0803",0.437151640678687
"275","Thomas Schultz","IS0602",0.430735939749623
"38","Ben Spycher","IS1406",0.382036707952155
"54","Christian Grams","ES0803",0.382012620621993
"97","Etienne Bucher","TD0905",0.381958490679084
"285","Vasileios Zikas","IC1306",0.376647944912347
"80","Daniele Roppolo","FP1105",0.374921066464484
"122","Hirofumi Yanagisawa","CM0601",0.364087301476744
"30","Angela Casini","CM1105",0.363805238383899
"156","Julien Mayor","IS1406",0.340235821567518
"288","Vincent Lam","MP1405",0.339699361185878
"105","Francesca Amati","BM0602",0.3394650862067
"208","Nourdine Faresse","BM0602",0.338225532258367
"151","Jose Groh","MP1304",0.337411313553105
"22","Andrea Frick","IS1406",0.336475684231699
"175","Marco Pignatari","MP1304",0.329978288039179
"176","Maria Caiata Zufferey","BM0606",0.329860436185504
"135","Jana Pachlopnik Schmid","BM1406",0.326958406234277
"19","Andrea Alimonti","CM1106",0.322750716120116
"257","Simon Nigg","MP1006",0.310803565445785
"103","Florian Thevenon","ES1201",0.309870721982707
"5","Aleix Comas-Vives","CM1003",0.307951605464064
"292","Yaroslav Romanyuk","CM1104",0.305954485419117
"53","Christian Flindt","MP1403",0.302025251280539
"28","Andri Gerber","TU1201",0.300284246000115
"108","Frank Scharnowski","BM0601",0.295515415663906
"246","Samuel Wüst","FA1006",0.294728294685391
"51","Chinwe Ifejika Speranza","TD1106",0.292568784398974
"87","Dominique Glauser","TD1005",0.291438719378643
"273","Thomas Frölicher","ES0801",0.290000723263426
"48","Carolyn King","BM1406",0.287060131415848
"157","Juraj Fedor","TD1208",0.285813984198235
"77","Daniela Donghi","CM1307",0.28425057803361
"84","Denis Martinvalet","FA0602",0.283741557351789
"289","Wakiko Ishibashi","MP0905",0.282815555522739
"250","Sara Mitri","FA1202",0.281433687715654
"206","Nina Khanna","BM1406",0.279487010082193
"218","Patricia Purtschert","FA0803",0.27380993217512
"160","Kerry Woods","BM0802",0.269791377970986
"233","Raphael Neukom","ES0907",0.268591992026155
"266","Swann Pichon","TD1005",0.267387063610235
"264","Steve Blanchet","MP1210",0.265554182546783
"220","Paul Vasos","CM1305",0.265522938842161
"41","Bettina Schaefli","ES1404",0.26518637623642
"237","Rixt De Jong","ES0907",0.261491784447547
"59","Christoph Berger","BM1406",0.261425972061671
"143","Jean-Philippe Brantut","MP1001",0.26026792203005
"290","Xueli Guan","BM0906",0.258485313896476
"274","Thomas Schmidt","MP1006",0.25505182521234
"107","Franck Vazquez","CM1406",0.252760354849232
"207","Nina Ullrich","CM1106",0.251863741556521
"191","Michael Koss","MP0905",0.248459582415379
"146","João das Neves Duarte","BM0602",0.247393017715222
"96","Eric Schmidlin","BM0601",0.24676268002098
"37","Beda Mühleisen","BM0903",0.2386210983457
"219","Patrick Pedrioli","CM1001",0.238174065949072
"85","Devis Tuia","MP1207",0.236552489092798
"148","Joëlle Vuille","IC1106",0.236169288111617
"101","Fabrizio Carbone","CM1204",0.234519867577163
"280","Trix Cacchione","IC0902",0.234206083509787
"116","Giuseppe Sforazzini","MP1406",0.2314735479098
"169","Lucas Montero de Espinosa","CM1302",0.230760442205452
"123","Hugo Mercier","IC0901",0.230567632691139
"227","Philippe Corboz","MP1006",0.230532631630449
"79","Daniele Colombaroli","TU0904",0.230269555537697
"263","Stéphanie Dagron","IS0602",0.230225720680077
"64","Christophe Galland","MP1403",0.229681618930113
"71","Cristina Müller","CM1106",0.229456831708698
"63","Christoph Karlo","BM0702",0.229190885936508
"12","Alfredo Martinez-Garcia","ES1402",0.228635871469041
"243","Roman Kuznets","IC0701",0.228586377900729
"67","Claudio Zamagni","IS0704",0.225162139475352
"252","Sebastian Schmidt","MP1403",0.224939678506505
"235","Richard McKinley","IC0701",0.218524460327621
"256","Silvio Ionta","BM0601",0.216689809739325
"102","Florence Oloff","IC1207",0.215721605043741
"18","Anamaria Necsulea","TD0905",0.21571277091321
"283","Valerio Simoni","IS1101",0.215199580123851
"145","Joachim Mertens","CM1106",0.214473084393103
"180","Markus Seeger","TU1004",0.214440060799029
"209","Olaf Zenker","TU0602",0.214363206279902
"147","Joëlle Rüegg","TD0905",0.214198084580654
"70","Cristina Granziera","TD1103",0.214062459096031
"272","Thomas Berger","CM1103",0.213758625177067
"239","Roland Zech","ES0907",0.212793485788092
"198","Natalie Banerji","ES1005",0.212399973797564
"276","Tilmann Altwicker","IS0602",0.211973611403541
"212","Oliver Martin","FA0702",0.2114517520647
"93","Emiliana Fabbri","TU1401",0.210392086852419
"228","Philippe Mermod","MP1210",0.209753029274906
"149","Johan Chang","TD1208",0.208480227271966
"200","Nathalie Meuwly","IC0902",0.206464853970784
"166","Laurenz Meier","FA1204",0.20642606205354
"98","Evelina Breschi","MP1001",0.206382506633851
"33","Anna Plisecka","IS0602",0.205399088628832
"7","Alessandro Sartori","BM0703",0.204924497818953
"50","Caspar Hirschi","IS1310",0.204838328076853
"249","Santiago Fernandez Gonzalez","BM0906",0.20141331689792
"109","Frédéric Guillaume","BM1102",0.201027032846411
"150","Johannes Letzkus","IS1203",0.199953427730533
"172","Magali Irla","BM1406",0.199191102910785
"162","Kislon Voitchovsky","TD1002",0.197305973309884
"186","Matthieu Leimgruber","IS1102",0.196888205134615
"26","Andreas Rüegg","TU0901",0.196258779798165
"21","Andrea Caviglia","CM1204",0.196215873160889
"224","Philip Brunner","CM1005",0.19512312736683
"43","Binnaz Yalcin","IC0902",0.192396268246217
"14","Aline Vidotto","TU1304",0.192162368474394
"216","Ozana Fischer","BM1406",0.192160026958014
"153","Julia Bohlius","BM0703",0.19169341983732
"181","Martin Gysel","MP0701",0.191318119359045
"138","Jay Slowik","CM1104",0.191305461586034
"40","Bertrand Forclaz","IS0803",0.191054809984526
"15","Amalia Ribi Forclaz","IS1202",0.190872104100017
"65","Christophe Yamahata","MP1005",0.190813857738304
"117","Gregor Würzner","BM0702",0.190399268242915
"140","Jean-David Gerber","TU0602",0.190225729272912
"68","Clayton Lapointe","TU0802",0.188657971841645
"260","Sophie de Seigneux Matthey","BM0702",0.188091650882158
"215","Oya Aran","TU1305",0.186954172283208
"210","Olin Silander","BM0901",0.185400452325486
"170","Lucio Isa","MP0701",0.185057819324896
"94","Emma Slack","BM1406",0.184350304860328
"241","Romain Felli","IS0802",0.184214559704432
"118","Gundela Bobeth","FP1302",0.183301707973907
"10","Alexandre Fort","BM0906",0.183010097014567
