Michael Döring,01.03.2015,Hydroecology and Floodplain Sustainability in Application - HyApp,Corpora/zhaw/projekt-detail.txt
Heidrun  Becker,01.03.2015,iCareCOOPs,Corpora/zhaw/projekt-detail_001.txt
Jörg Keller,01.01.2015,DACHL-Landeskunde-Seminar 2015,Corpora/zhaw/projekt-detail_006.txt
Brion Duffy,01.01.2015,DeepCherry: Deep transcriptome sequencing to uncover bacterial disease resistance in cherry,Corpora/zhaw/projekt-detail_007.txt
Hansjürg Gredig,01.01.2015,Dialog Kultur 2015,Corpora/zhaw/projekt-detail_008.txt
Constanze Pietsch,01.01.2015,Kick-Starting Projects African Countries,Corpora/zhaw/projekt-detail_011.txt
Johannes Fahrentrapp,01.01.2015,Systemic disease response of Solanum lycopersicon,Corpora/zhaw/projekt-detail_012.txt
Ursula Meidert,15.12.2014,Beratung zur Bettenversorgung bei Personen mit rheumatischen Erkrankungen,Corpora/zhaw/projekt-detail_014.txt
Patrick Krauskopf,15.12.2014,Wettbewerbssituation im Schweizer Automobilgewerbe,Corpora/zhaw/projekt-detail_016.txt
Andreas Fürholz,04.12.2014,Umweltauswirkungen einer Vertikalachsenturbine,Corpora/zhaw/projekt-detail_017.txt
Julien Rey,01.12.2014,Mid-infrared liquid sensing,Corpora/zhaw/projekt-detail_018.txt
Angela Zeier,01.12.2014,Operationeller Risikokompass fuer Vorsorgeeinrichtungen,Corpora/zhaw/projekt-detail_019.txt
Angela Zeier,01.12.2014,Patienten in der Health-Value-Chain - Studie zu gemeinsamen Zielen im Gesundheits- und Krankenversicherungsmarkt Schweiz,Corpora/zhaw/projekt-detail_020.txt
Claudia Pedron,01.11.2014,Aufbau einer serviceorientierten Architektur bei  armasuisse Immobilien,Corpora/zhaw/projekt-detail_021.txt
Daniel Greber,01.11.2014,Entscheidungsverhalten in der privaten Vorsorge,Corpora/zhaw/projekt-detail_023.txt
Wilfried Elspass,01.11.2014,Entwicklung einer modularen Kinderhandprothese,Corpora/zhaw/projekt-detail_024.txt
Wilfried Elspass,01.11.2014,Entwicklung eines neuartigen Inspektionsroboters,Corpora/zhaw/projekt-detail_025.txt
Heidi Petry,01.11.2014,Erfahrungen von alten Menschen und deren Familien im Kontext eines Betreuungsarrangements mit Care Migrantinnen,Corpora/zhaw/projekt-detail_026.txt
Roland Graf,01.11.2014,Jagdrevierbewertung des Kantons St. Gallen,Corpora/zhaw/projekt-detail_027.txt
Lars Fieseler,01.11.2014,Mechanisms of phage resistance in Erwinia amylovora,Corpora/zhaw/projekt-detail_029.txt
Brion Duffy,01.11.2014,PearL: Diversity and host range of Pseudomonas syringae in fruit tree species in Latvia,Corpora/zhaw/projekt-detail_031.txt
Alberto Colotti,01.11.2014,SIgrid,Corpora/zhaw/projekt-detail_033.txt
Elke Brucker-Kley,01.10.2014,BPM-Studie 2015 - &quot;Prozessintelligenz&quot;,Corpora/zhaw/projekt-detail_037.txt
Valerie Fleming,01.10.2014,Giving birth,Corpora/zhaw/projekt-detail_040.txt
Simon Wieser,01.10.2014,Kosten von Diabetes in der Schweiz,Corpora/zhaw/projekt-detail_042.txt
Corinne Moser,01.10.2014,NFP71: Using formal social groups to promote energy-sufficient behaviour in cities,Corpora/zhaw/projekt-detail_043.txt
Matthias Stucki,01.10.2014,ProPAT,Corpora/zhaw/projekt-detail_045.txt
Urs Baier,01.10.2014,Renewable Methane Transport + Mobility,Corpora/zhaw/projekt-detail_047.txt
Karin Kovar,01.10.2014,Sciex 14.176 PEGAS,Corpora/zhaw/projekt-detail_048.txt
Flurina Meier,01.10.2014,Spital Limmattal: Koordination der Altersversorgung im Zweckverband des Spitals Limmattal,Corpora/zhaw/projekt-detail_049.txt
Petra Bättig-Frey,01.10.2014,Wirkungsevaluation &quot;Zuerich isst&quot;,Corpora/zhaw/projekt-detail_050.txt
Alfred Angerer,25.09.2014,FMH Praxiskostenbarometer,Corpora/zhaw/projekt-detail_051.txt
Kurt Pärli,01.09.2014,Auswirkungen des EU-Arbeitsrechts auf das schweizerische Arbeitsrecht,Corpora/zhaw/projekt-detail_053.txt
Fatih Uzdilli,01.09.2014,Beekeeper,Corpora/zhaw/projekt-detail_054.txt
Peter Stücheli-Herlach,01.09.2014,Diskursanalyse zu den Sozialversicherungen,Corpora/zhaw/projekt-detail_055.txt
Liana Konstantinidou,01.09.2014,ecomundo,Corpora/zhaw/projekt-detail_056.txt
Elena Wilhelm,01.09.2014,Entwicklung zweiter Schwerpunkt ZHAW,Corpora/zhaw/projekt-detail_057.txt
Andri Färber,01.09.2014,ExpAct - Experiences keep people Active,Corpora/zhaw/projekt-detail_058.txt
Thomas Gabriel,01.09.2014,Heimalltag im Spiegel von Erlebnisberichten,Corpora/zhaw/projekt-detail_059.txt
Susanne Hofer,01.09.2014,KTI Projekt: Hospital Planning - Revisited and Reloaded (V2),Corpora/zhaw/projekt-detail_060.txt
Kurt Stockinger,01.09.2014,Market Monitoring,Corpora/zhaw/projekt-detail_061.txt
Michael Döring,01.09.2014,Monitoring Simme und Kander,Corpora/zhaw/projekt-detail_062.txt
Jürg Rohrer,01.09.2014,PVT-Solarkraftwerk linth-arena sgu,Corpora/zhaw/projekt-detail_063.txt
Andreas Bergmann,01.08.2014,Accounting for inter-governmental organizations,Corpora/zhaw/projekt-detail_067.txt
Mark Cieliebak,01.08.2014,Automatische Generierung von Regressionstests,Corpora/zhaw/projekt-detail_068.txt
: ,tbeginn / ,Electronic Crew Flight Pad,Corpora/zhaw/projekt-detail_070.txt
Petra Bättig-Frey,01.07.2014,Ausstellungskonzept &quot;nachhaltige Ernaehrung&quot;,Corpora/zhaw/projekt-detail_078.txt
Thomas Bratschi,01.07.2014,CONSUS,Corpora/zhaw/projekt-detail_079.txt
Patrick Studer,01.07.2014,Cooperation LCC and University of Freiburg (2014-2017),Corpora/zhaw/projekt-detail_080.txt
Peter Marty,01.07.2014,Methodenadaption zur Wirkungsanalyse von Programmen und Projekten in der Regionalentwicklung,Corpora/zhaw/projekt-detail_083.txt
Thomas Bratschi,01.07.2014,Nachhaltigkeitsbilanzierung von Tomaten,Corpora/zhaw/projekt-detail_084.txt
Thomas Michael Bohnert,01.07.2014,SOLIDNA,Corpora/zhaw/projekt-detail_085.txt
Kirsten Edelkraut,01.07.2014,Vegetationskartierung Skigebiet Corvatsch,Corpora/zhaw/projekt-detail_087.txt
Stephan Toggweiler,30.06.2014,Entscheidungsfindungen im Berufswahlprozess.,Corpora/zhaw/projekt-detail_089.txt
Fabian Danko,30.06.2014,Unternehmensbewertungen,Corpora/zhaw/projekt-detail_090.txt
Evelyn Wolfram-Schilling,15.06.2014,Sciex PLantMultitargetSkin: I. Iliescu,Corpora/zhaw/projekt-detail_091.txt
Franz Baumgartner,01.06.2014,Betriebs- und Wartungskosten von Photovoltaikanlagen,Corpora/zhaw/projekt-detail_092.txt
Peter Stücheli-Herlach,01.06.2014,Digital Content Hub,Corpora/zhaw/projekt-detail_093.txt
Anne-Kathrin Rausch Osthoff,01.06.2014,Effect of counselling during pulmonary rehabilitation on self-determined motivation towards physical activity in patients with Chronic Obstructive Pulmonary Disease,Corpora/zhaw/projekt-detail_094.txt
Florian Brack,01.06.2014,Instrumente Nachhaltigkeitsmanagement,Corpora/zhaw/projekt-detail_095.txt
Priska Müller Wahl,01.06.2014,KULTURschafftLAND,Corpora/zhaw/projekt-detail_096.txt
Stefan Forster,01.06.2014,Machbarkeitsstudie Fahrtziel Natur,Corpora/zhaw/projekt-detail_097.txt
Jürg Schlegel,01.06.2014,"Pflege- und Unterhaltskonzept Geissau/Sihlhalden, Thalwil",Corpora/zhaw/projekt-detail_099.txt
Stephan Toggweiler,01.06.2014,Psychometrische Eigenschaften von GraphoPro.,Corpora/zhaw/projekt-detail_100.txt
Doris Tausendpfund,01.01.2010,Urban Farming Baugenossenschaft mehr als wohnen,Corpora/zhaw/projekt-detail_1001.txt
Jürg Schlegel,01.01.2010,"UVB Erweiterung Deponie Boschetta, S-chanf",Corpora/zhaw/projekt-detail_1002.txt
,,Vorkurs Hydrostatik,Corpora/zhaw/projekt-detail_1003.txt
,,Vorkurs Kalorik,Corpora/zhaw/projekt-detail_1004.txt
Pascal Ochsner,01.01.2010,WebGIS Rebberg Halbinsel Au,Corpora/zhaw/projekt-detail_1006.txt
Urs Baier,01.01.2010,ZHAW Versuchs-Biogasanlage,Corpora/zhaw/projekt-detail_1008.txt
Frei Eva,01.06.2014,Vegetations Kartierung Mauntschas St. Moritz,Corpora/zhaw/projekt-detail_101.txt
