"","Title","Action","Name","Start.Date","Score","File"
"1","Hydroecology and Floodplain Sustainability in Application - HyApp","ES1104","Michael Döring",2015-03-01,0.1943043423,"projekt-detail_000"
"2","iCareCOOPs","IC1303","Heidrun  Becker",2015-03-01,0.3103189469,"projekt-detail_001"
"3","Gemeinsamer Europischer Referenzrahmen fr Gebrdensprachen: Empirie-basierte Grundlagen fr grammatische pragmatische und soziolinguistische Deskriptoren in Deutschschweizer Gebrdensprache (2014)","IS1006","Jörg Keller ",2015-02-01,0.3460567767,"projekt-detail_002"
"4","Aussprachetraining Deutsch mit adaptiver mobiler App: multimediales kursunabhngiges Lernen und Blended Learning (2015)","IC1206","Jörg Keller",2015-01-01,0.0971697744,"projekt-detail_004"
"5","Auswirkung von Zwangshaltungen und Muskelermdung auf die kognitive Leistungsfhigkeit von Helikopterpiloten","IC0902","Céline Mülethaler",2015-01-01,0.1196357892,"projekt-detail_005"
"6","DACHL-Landeskunde-Seminar 2015","IS0801","Jörg Keller",2015-01-01,0.0765460628,"projekt-detail_006"
"7","DeepCherry: Deep transcriptome sequencing to uncover bacterial disease resistance in cherry","FA1104","Brion Duffy",2015-01-01,0.5029170181,"projekt-detail_007"
"8","Dialog Kultur 2015","IS1007","Hansjürg Gredig",2015-01-01,0.3751898798,"projekt-detail_008"
"9","Entwicklung eines IT-gesttzten Assessmenttools und eines entsprechenden Einfhrungshandbuches fr relevante Facility Management-Prozess-Applikationen im Spital auf Basis eines adaptiven Referenzmodells","IC0604","Nicole Gerber",2015-01-01,0.0824783073,"projekt-detail_009"
"10","Gesundheitsfrderliche Brorume","IS0703","",NA,0.0800839472,"projekt-detail_010"
"11","Kick-Starting Projects African Countries","FA0802","Constanze Pietsch",2015-01-01,0.2771689538,"projekt-detail_011"
"12","Systemic disease response of Solanum lycopersicon","FA1208","Johannes Fahrentrapp",2015-01-01,0.1661578103,"projekt-detail_012"
"13","Verbessertes und  nachhaltigeres Praktikum in Instrumentelle Analytische Chemie ICBC- Einfhrung eines Nachhaltigkeitsindex fr die semiquantitative Gewichtung von Analytischen Methoden-","CM1407","Sergio Petrozzi",2015-01-01,0.1553619703,"projekt-detail_013"
"14","Beratung zur Bettenversorgung bei Personen mit rheumatischen Erkrankungen","TD1005","Ursula Meidert",2014-12-15,0.1413864333,"projekt-detail_014"
"15","Grnrume fr die zweite Lebenshlfte","TU1306","Petra Hagen Hodgson",2014-12-15,0.2915805821,"projekt-detail_015"
"16","Wettbewerbssituation im Schweizer Automobilgewerbe","IS0602","Patrick Krauskopf",2014-12-15,0.1248827754,"projekt-detail_016"
"17","Umweltauswirkungen einer Vertikalachsenturbine","ES1406","Andreas Fürholz",2014-12-04,0.1099377415,"projekt-detail_017"
"18","Operationeller Risikokompass fuer Vorsorgeeinrichtungen","IC0901","Angela Zeier",2014-12-01,0.2020607757,"projekt-detail_019"
"19","Patienten in der Health-Value-Chain - Studie zu gemeinsamen Zielen im Gesundheits- und Krankenversicherungsmarkt Schweiz","IS0601","Angela Zeier",2014-12-01,0.1002371945,"projekt-detail_020"
"20","Aufbau einer serviceorientierten Architektur bei  armasuisse Immobilien","IC1304","Claudia Pedron",2014-11-01,0.1138435101,"projekt-detail_021"
"21","Beurteilung von BAW zur Vergrung","FA1005","Urs Baier",2014-11-01,0.0824394487,"projekt-detail_022"
"22","Entscheidungsverhalten in der privaten Vorsorge","IS0604","Daniel Greber",2014-11-01,0.0878499194,"projekt-detail_023"
"23","Entwicklung eines neuartigen Inspektionsroboters","TD1006","Wilfried Elspass",2014-11-01,0.164897774,"projekt-detail_025"
