Id,Name,Project,Score
76,projekt-detail_081,FA1104,0.9182011867
394,projekt-detail_1291,IS0703,0.8862310713
1065,projekt-detail_203,TU1204,0.559333886
1344,projekt-detail_499,BM1001,0.5506228737
1520,projekt-detail_690,IS0703,0.5052135902
6,projekt-detail_007,FA1104,0.5029170181
1663,projekt-detail_851,IS0703,0.4998680946
795,projekt-detail_1682,TU0702,0.4909234563
732,projekt-detail_1621,IS0703,0.4607811968
1124,projekt-detail_264,FA1305,0.4600419637
624,projekt-detail_1513,IS1007,0.4579582682
682,projekt-detail_1574,IS1406,0.454036833
1289,projekt-detail_436,TU1204,0.4390385991
449,projekt-detail_1346,TU0903,0.4380761064
420,projekt-detail_131,IS0906,0.4365893316
556,projekt-detail_1450,IS1406,0.4229863717
858,projekt-detail_1741,IS1007,0.4162533479
599,projekt-detail_148,TU1304,0.4114891657
1343,projekt-detail_497,IC1303,0.4084215576
1099,projekt-detail_239,FA1101,0.4083604109
408,projekt-detail_1307,TD1005,0.402779571
1356,projekt-detail_511,IS1007,0.4023820881
1387,projekt-detail_543,IS0703,0.3986218593
1776,projekt-detail_974,TU1204,0.3981138807
1071,projekt-detail_209,ES1408,0.3928089048
619,projekt-detail_1509,IS0703,0.3918748464
1165,projekt-detail_306,TD0803,0.3842884912
705,projekt-detail_1596,TU0702,0.3823605547
837,projekt-detail_1721,IS0602,0.38203312
1644,projekt-detail_832,IS0703,0.3786987995
7,projekt-detail_008,IS1007,0.3751898798
1716,projekt-detail_907,TD1005,0.3726116466
1392,projekt-detail_548,IS0703,0.3718035441
1329,projekt-detail_481,BM0804,0.3711950014
1206,projekt-detail_349,IS0906,0.3706387765
1736,projekt-detail_928,IS1306,0.3699605716
130,projekt-detail_1035,TD1005,0.3690028093
492,projekt-detail_1386,IS0906,0.3677833945
1570,projekt-detail_745,IS0906,0.3663700062
290,projekt-detail_1191,IS0703,0.3649694602
1232,projekt-detail_376,TU1204,0.3642358468
621,projekt-detail_1510,IS1306,0.3623025181
331,projekt-detail_1230,TD1202,0.3617963534
903,projekt-detail_1783,TU1001,0.3617159935
508,projekt-detail_1403,TU1204,0.3588937502
1257,projekt-detail_402,FP1405,0.3547887966
425,projekt-detail_1324,MP1301,0.3541017967
172,projekt-detail_1074,TU0602,0.3537867692
1304,projekt-detail_454,IC0901,0.3491194711
618,projekt-detail_1508,IS1404,0.3483553266
